,company,specific_bean_region,year,cacao_percent,company_country,rating,origin_country,origin_gdp,company_gdp
1,A. Morin,Kpime,2015,0.7,France,2.75,Togo,4087628275.95594,2433562015516.21
2,A. Morin,Atsane,2015,0.7,France,3.0,Togo,4087628275.95594,2433562015516.21
3,A. Morin,Akata,2015,0.7,France,3.5,Togo,4087628275.95594,2433562015516.21
4,A. Morin,Quilla,2015,0.7,France,3.5,Peru,189212096470.293,2433562015516.21
6,A. Morin,Cuba,2014,0.7,France,3.5,Cuba,80656100000.0,2849305322684.76
9,A. Morin,Pablino,2014,0.7,France,4.0,Peru,201049665375.132,2849305322684.76
10,A. Morin,Panama,2013,0.7,France,2.75,Panama,44856189500.0,2808511203185.39
11,A. Morin,Madagascar,2013,0.7,France,3.0,Madagascar,10601690871.7611,2808511203185.39
12,A. Morin,Brazil,2013,0.7,France,3.25,Brazil,2472806919901.67,2808511203185.39
13,A. Morin,Equateur,2013,0.7,France,3.75,Ecuador,95129659000.0,2808511203185.39
14,A. Morin,Colombie,2013,0.7,France,2.75,Colombia,380191876348.93,2808511203185.39
16,A. Morin,Papua New Guinea,2013,0.7,France,3.25,Papua New Guinea,21261305413.2323,2808511203185.39
18,A. Morin,Piura,2013,0.7,France,3.25,Peru,201217661645.509,2808511203185.39
19,A. Morin,Chanchamayo Province,2013,0.7,France,3.5,Peru,201217661645.509,2808511203185.39
20,A. Morin,Chanchamayo Province,2013,0.63,France,4.0,Peru,201217661645.509,2808511203185.39
21,A. Morin,Bolivia,2012,0.7,France,3.5,Bolivia,27084497539.7974,2681416108537.39
22,A. Morin,Peru,2012,0.63,France,3.75,Peru,192648999090.082,2681416108537.39
23,Acalli,Chulucanas,2015,0.7,United States,3.75,Peru,189212096470.293,18120714000000.0
24,Acalli,Tumbes,2015,0.7,United States,3.75,Peru,189212096470.293,18120714000000.0
25,Adi,Vanua Levu,2011,0.6,Fiji,2.75,Fiji,3774530615.65916,3774530615.65916
26,Adi,Vanua Levu,2011,0.8,Fiji,3.25,Fiji,3774530615.65916,3774530615.65916
27,Adi,Vanua Levu,2011,0.88,Fiji,3.5,Fiji,3774530615.65916,3774530615.65916
28,Adi,Vanua Levu,2011,0.72,Fiji,3.5,Fiji,3774530615.65916,3774530615.65916
29,Aequare (Gianduja),Los Rios,2009,0.55,Ecuador,2.75,Ecuador,62519686000.0,62519686000.0
30,Aequare (Gianduja),Los Rios,2009,0.7,Ecuador,3.0,Ecuador,62519686000.0,62519686000.0
31,Ah Cacao,Tabasco,2009,0.7,Mexico,3.0,Mexico,894948748436.748,894948748436.748
32,Akesson's (Pralus),Bali (west),2011,0.75,Switzerland,3.75,Indonesia,892969107923.094,699579638638.226
33,Akesson's (Pralus),Madagascar,2010,0.75,Switzerland,2.75,Madagascar,8729936135.74487,583782977866.405
34,Akesson's (Pralus),Monte Alegre,2010,0.75,Switzerland,2.75,Brazil,2208871646202.82,583782977866.405
36,Alain Ducasse,Vietnam,2014,0.75,France,2.75,Vietnam,186204652922.262,2849305322684.76
37,Alain Ducasse,Madagascar,2014,0.75,France,3.0,Madagascar,10673516672.6664,2849305322684.76
39,Alain Ducasse,Piura,2013,0.75,France,2.5,Peru,201217661645.509,2808511203185.39
44,Altus aka Cao Artisan,Momotombo,2016,0.6,United States,2.75,Nicaragua,13230844686.858,18624475000000.0
45,Altus aka Cao Artisan,Acopagro,2016,0.6,United States,3.0,Peru,192207342004.681,18624475000000.0
46,Altus aka Cao Artisan,CIAAB Coop,2016,0.6,United States,2.5,Bolivia,33806395513.7482,18624475000000.0
47,Altus aka Cao Artisan,Villa Andina,2016,0.6,United States,2.5,Peru,192207342004.681,18624475000000.0
48,Altus aka Cao Artisan,Gruppo Salinas,2016,0.6,United States,2.75,Ecuador,98613972000.0,18624475000000.0
50,Altus aka Cao Artisan,Conacado,2013,0.6,United States,3.0,Dominican Republic,61965942056.6828,16691517000000.0
51,Altus aka Cao Artisan,Bolivia,2013,0.8,United States,3.25,Bolivia,30659338929.0883,16691517000000.0
52,Altus aka Cao Artisan,Bolivia,2013,0.6,United States,3.0,Bolivia,30659338929.0883,16691517000000.0
53,Altus aka Cao Artisan,Peru,2013,0.6,United States,3.25,Peru,201217661645.509,16691517000000.0
54,Amano,Morobe,2011,0.7,United States,4.0,Papua New Guinea,17984816533.1084,15517926000000.0
55,Amano,Dos Rios,2010,0.7,United States,3.75,Dominican Republic,53954579003.5277,14964372000000.0
56,Amano,Guayas,2010,0.7,United States,4.0,Ecuador,69555367000.0,14964372000000.0
59,Amano,Bali,2008,0.7,United States,2.75,Indonesia,543253873101.753,14718582000000.0
60,Amano,Madagascar,2007,0.7,United States,3.5,Madagascar,7342923489.09616,14477635000000.0
63,Amatller (Simon Coll),Ghana,2009,0.7,Spain,3.0,Ghana,25977847813.7422,1499099749930.54
64,Amatller (Simon Coll),Ecuador,2009,0.7,Spain,2.75,Ecuador,62519686000.0,1499099749930.54
65,Amatller (Simon Coll),Ecuador,2009,0.85,Spain,2.75,Ecuador,62519686000.0,1499099749930.54
66,Amatller (Simon Coll),Ghana,2009,0.85,Spain,3.0,Ghana,25977847813.7422,1499099749930.54
67,Amazona,LamasdelChanka,2013,0.72,Peru,3.25,Peru,201217661645.509,201217661645.509
68,Amazona,Bellavista Gran Pajeten,2013,0.73,Peru,3.5,Peru,201217661645.509,201217661645.509
69,Ambrosia,Belize,2015,0.64,Canada,3.0,Belize,1742545900.0,1552807652015.37
70,Ambrosia,Madagascar,2015,0.66,Canada,3.25,Madagascar,9744243420.48073,1552807652015.37
71,Ambrosia,Dominican Republic,2015,0.75,Canada,3.25,Dominican Republic,68102618092.1031,1552807652015.37
72,Ambrosia,Papua New Guinea,2015,0.63,Canada,3.25,Papua New Guinea,21060901603.8145,1552807652015.37
74,Ambrosia,Peru,2015,0.68,Canada,3.5,Peru,189212096470.293,1552807652015.37
75,Amedei,Piura,2012,0.7,Italy,3.75,Peru,192648999090.082,2072823157059.76
78,Amedei,Ecuador,2007,0.7,Italy,3.0,Ecuador,51007777000.0,2203053380782.92
79,Amedei,Jamaica,2007,0.7,Italy,3.0,Jamaica,12824094989.8639,2203053380782.92
80,Amedei,Grenada,2007,0.7,Italy,3.5,Grenada,758683598.518519,2203053380782.92
82,Amedei,Madagascar,2007,0.7,Italy,4.0,Madagascar,7342923489.09616,2203053380782.92
84,AMMA,Catongo,2013,0.75,Brazil,3.25,Brazil,2472806919901.67,2472806919901.67
85,AMMA,Monte Alegre,2010,0.85,Brazil,2.75,Brazil,2208871646202.82,2208871646202.82
86,AMMA,Monte Alegre,2010,0.5,Brazil,3.75,Brazil,2208871646202.82,2208871646202.82
87,AMMA,Monte Alegre,2010,0.75,Brazil,3.75,Brazil,2208871646202.82,2208871646202.82
88,AMMA,Monte Alegre,2010,0.6,Brazil,4.0,Brazil,2208871646202.82,2208871646202.82
89,Anahata,Elvesia,2014,0.75,United States,3.0,Dominican Republic,65231032303.2418,17393103000000.0
90,Animas,Alto Beni,2016,0.75,United States,3.5,Bolivia,33806395513.7482,18624475000000.0
91,Ara,Madagascar,2014,0.75,France,3.0,Madagascar,10673516672.6664,2849305322684.76
92,Ara,Chiapas,2014,0.72,France,2.5,Mexico,1298461494903.14,2849305322684.76
93,Ara,Equateur,2014,0.75,France,2.75,Ecuador,101726331000.0,2849305322684.76
96,Arete,Kokoa Kamili,2016,0.7,United States,3.75,Tanzania,47340071107.343,18624475000000.0
97,Arete,Tien Giang,2016,0.73,United States,3.5,Vietnam,205276172134.901,18624475000000.0
98,Arete,Hacienda Victoria,2016,0.7,United States,3.25,Ecuador,98613972000.0,18624475000000.0
99,Arete,Costa Esmeraldas,2016,0.7,United States,3.25,Ecuador,98613972000.0,18624475000000.0
100,Arete,Lachua,2016,0.7,United States,3.5,Guatemala,68763255963.8943,18624475000000.0
101,Arete,Rugoso,2016,0.7,United States,3.75,Nicaragua,13230844686.858,18624475000000.0
102,Arete,La Masica,2016,0.7,United States,3.5,Honduras,21516938909.5686,18624475000000.0
103,Arete,Coto Brus,2016,0.7,United States,4.0,Costa Rica,57435507212.256,18624475000000.0
104,Arete,Phantom,2016,0.7,United States,4.0,Peru,192207342004.681,18624475000000.0
105,Arete,Elvesia,2016,0.7,United States,3.75,Dominican Republic,71583553487.5646,18624475000000.0
106,Arete,Matasawalevu,2016,0.7,United States,3.25,Fiji,4703632978.46947,18624475000000.0
107,Arete,Lam Dong,2016,0.73,United States,3.25,Vietnam,205276172134.901,18624475000000.0
108,Arete,Fazenda Camboa,2015,0.7,United States,3.5,Brazil,1803652649613.75,18120714000000.0
109,Arete,Nacional,2015,0.68,United States,3.5,Peru,189212096470.293,18120714000000.0
110,Arete,Puerto Quito,2015,0.7,United States,3.75,Ecuador,99290381000.0,18120714000000.0
111,Arete,Oko Caribe,2015,0.7,United States,3.5,Dominican Republic,68102618092.1031,18120714000000.0
112,Arete,Maya Mountain,2015,0.7,United States,3.75,Belize,1742545900.0,18120714000000.0
113,Arete,Chuno,2015,0.7,United States,4.0,Nicaragua,12747741539.7259,18120714000000.0
114,Arete,Fazenda Camboa,2015,0.75,United States,2.75,Brazil,1803652649613.75,18120714000000.0
115,Arete,Guatemala,2015,0.7,United States,3.25,Guatemala,63767597193.9175,18120714000000.0
116,Arete,Camino Verde,2015,0.75,United States,3.5,Ecuador,99290381000.0,18120714000000.0
118,Artisan du Chocolat,Colombia,2012,0.72,United Kingdom,3.75,Colombia,369659697842.885,2662085168498.93
119,Artisan du Chocolat,Haiti,2011,0.72,United Kingdom,4.0,Haiti,7516834160.25277,2619700404733.37
120,Artisan du Chocolat,Panama,2011,0.72,United Kingdom,2.75,Panama,34373820500.0,2619700404733.37
122,Artisan du Chocolat,Jamaica,2010,0.72,United Kingdom,3.75,Jamaica,13191645685.5116,2441173394729.62
123,Artisan du Chocolat,Costa Rica,2010,0.72,United Kingdom,3.25,Costa Rica,37268635287.0856,2441173394729.62
124,Artisan du Chocolat,Ba Ria Vung Tau Province,2010,0.72,United Kingdom,3.25,Vietnam,115931749697.241,2441173394729.62
125,Artisan du Chocolat,Bali,2010,0.72,United Kingdom,3.5,Indonesia,755094160363.071,2441173394729.62
127,Artisan du Chocolat,Java,2009,0.72,United Kingdom,2.75,Indonesia,574505139225.44,2382825985355.97
128,Artisan du Chocolat,Brazil Rio Doce,2009,0.72,United Kingdom,1.75,Brazil,1667019605881.76,2382825985355.97
129,Artisan du Chocolat,Madagascar,2009,0.8,United Kingdom,3.0,Madagascar,8550363974.79243,2382825985355.97
130,Artisan du Chocolat,Peru,2009,0.75,United Kingdom,3.0,Peru,120822986521.479,2382825985355.97
131,Artisan du Chocolat,Dominican Republic,2009,0.72,United Kingdom,3.25,Dominican Republic,48376555305.6902,2382825985355.97
133,Artisan du Chocolat (Casa Luker),Orinoqua Region,2013,0.72,United Kingdom,2.75,Colombia,380191876348.93,2739818680930.19
134,Askinosie,Mababa,2016,0.68,United States,3.75,Tanzania,47340071107.343,18624475000000.0
135,Askinosie,Tenende,2011,0.72,United States,3.75,Tanzania,33878631649.4157,15517926000000.0
136,Askinosie,Cortes,2011,0.7,United States,3.75,Honduras,17710315005.9999,15517926000000.0
137,Askinosie,Davao,2009,0.77,United States,3.75,Philippines,168334599538.168,14418739000000.0
138,Askinosie,Xoconusco,2007,0.75,United States,2.5,Mexico,1043471321169.09,14477635000000.0
139,Askinosie,San Jose del Tambo,2007,0.7,United States,3.0,Ecuador,51007777000.0,14477635000000.0
140,Bahen & Co.,Papua New Guinea,2015,0.7,Australia,3.5,Papua New Guinea,21060901603.8145,1345383143356.35
141,Bahen & Co.,Sambirano,2012,0.7,Australia,3.0,Madagascar,9919780071.28764,1538194473087.23
142,Bahen & Co.,Bahia,2012,0.7,Australia,2.5,Brazil,2465188674415.03,1538194473087.23
143,Bakau,Bambamarca,2015,0.7,Peru,2.75,Peru,189212096470.293,189212096470.293
144,Bakau,Huallabamba,2015,0.7,Peru,3.5,Peru,189212096470.293,189212096470.293
145,Bar Au Chocolat,Bahia,2015,0.7,United States,3.5,Brazil,1803652649613.75,18120714000000.0
146,Bar Au Chocolat,Maranon Canyon,2014,0.7,United States,4.0,Peru,201049665375.132,17393103000000.0
147,Bar Au Chocolat,Duarte Province,2012,0.7,United States,3.25,Dominican Republic,60613645121.3529,16155255000000.0
148,Bar Au Chocolat,Chiapas,2012,0.7,United States,3.5,Mexico,1186598324461.82,16155255000000.0
149,Bar Au Chocolat,Sambirano,2012,0.7,United States,3.75,Madagascar,9919780071.28764,16155255000000.0
151,Batch,Dominican Republic,2016,0.65,United States,3.5,Dominican Republic,71583553487.5646,18624475000000.0
152,Batch,Brazil,2016,0.7,United States,3.75,Brazil,1796186586414.45,18624475000000.0
153,Batch,Ecuador,2016,0.65,United States,3.25,Ecuador,98613972000.0,18624475000000.0
156,Beehive,Brazil,2016,0.8,United States,2.75,Brazil,1796186586414.45,18624475000000.0
157,Beehive,Dominican Republic,2016,0.7,United States,2.75,Dominican Republic,71583553487.5646,18624475000000.0
158,Beehive,Ecuador,2016,0.7,United States,2.75,Ecuador,98613972000.0,18624475000000.0
159,Beehive,Ecuador,2016,0.9,United States,2.75,Ecuador,98613972000.0,18624475000000.0
160,Belcolade,Costa Rica,2010,0.64,Belgium,2.75,Costa Rica,37268635287.0856,483548031197.108
161,Belcolade,Papua New Guinea,2010,0.64,Belgium,2.75,Papua New Guinea,14250726289.854,483548031197.108
162,Belcolade,Peru,2010,0.64,Belgium,2.75,Peru,147528937028.778,483548031197.108
163,Belcolade,Ecuador,2010,0.71,Belgium,3.5,Ecuador,69555367000.0,483548031197.108
164,Bellflower,Kakao Kamili,2016,0.7,United States,3.5,Tanzania,47340071107.343,18624475000000.0
165,Bellflower,Alto Beni,2016,0.7,United States,3.25,Bolivia,33806395513.7482,18624475000000.0
166,Bellflower,Oko Caribe,2016,0.7,United States,3.5,Dominican Republic,71583553487.5646,18624475000000.0
167,Belyzium,Belize south,2016,0.83,Germany,2.75,Belize,1741100000.0,3477796274496.8
168,Belyzium,Belize south,2016,0.78,Germany,3.0,Belize,1741100000.0,3477796274496.8
169,Belyzium,Belize south,2016,0.83,Germany,3.5,Belize,1741100000.0,3477796274496.8
170,Benoit Nihant,Baracoa,2013,0.74,Belgium,3.5,Cuba,77148000000.0,520925468952.938
173,Benoit Nihant,Rio Peripa H.,2013,0.73,Belgium,4.0,Ecuador,95129659000.0,520925468952.938
174,Benoit Nihant,Bali,2011,0.72,Belgium,4.0,Indonesia,892969107923.094,527008453886.929
175,Benoit Nihant,Somia Plantation,2011,0.72,Belgium,3.75,Madagascar,9892702357.56691,527008453886.929
176,Beschle (Felchlin),Madagascar,2011,0.64,Switzerland,3.0,Madagascar,9892702357.56691,699579638638.226
179,Beschle (Felchlin),Ecuador,2011,0.72,Switzerland,4.0,Ecuador,79276664000.0,699579638638.226
182,Beschle (Felchlin),Java,2010,0.64,Switzerland,3.5,Indonesia,755094160363.071,583782977866.405
184,Bisou,Nicaragua,2015,0.76,United States,2.5,Nicaragua,12747741539.7259,18120714000000.0
185,Bisou,San Andres,2015,0.76,United States,2.5,Costa Rica,54840103850.265,18120714000000.0
186,Bisou,San Andres,2015,0.78,United States,2.5,Costa Rica,54840103850.265,18120714000000.0
187,Bisou,Belize,2015,0.86,United States,3.25,Belize,1742545900.0,18120714000000.0
188,Bittersweet Origins,Ghana,2012,0.72,United States,3.5,Ghana,41939728978.7281,16155255000000.0
189,Bittersweet Origins,Bali,2010,0.75,United States,3.25,Indonesia,755094160363.071,14964372000000.0
190,Bittersweet Origins,2009 Hapa Nibby,2010,0.7,United States,3.75,Dominican Republic,53954579003.5277,14964372000000.0
191,Bittersweet Origins,Bali,2010,0.65,United States,2.75,Indonesia,755094160363.071,14964372000000.0
192,Bittersweet Origins,Sambirano,2010,0.7,United States,3.0,Madagascar,8729936135.74487,14964372000000.0
194,Bittersweet Origins,Puerto Plata,2009,0.75,United States,3.0,Dominican Republic,48376555305.6902,14418739000000.0
195,Bittersweet Origins,Puerto Plata,2009,0.65,United States,3.5,Dominican Republic,48376555305.6902,14418739000000.0
